Date,Date,Open,High,Low,Close,Adj Close,Volume
04-05-2016,42494,1236.949951,1247.030029,1228.5,1239,1120.953613,1364892
05-05-2016,42495,1239,1244.969971,1231.780029,1235.150024,1117.470459,1246566
06-05-2016,42496,1232.5,1242.150024,1215.5,1236.699951,1118.872803,885598
09-05-2016,42499,1236.699951,1259,1228.199951,1256.280029,1136.58728,1821276
10-05-2016,42500,1257.5,1266.969971,1248,1261.449951,1141.264648,1158534
11-05-2016,42501,1250,1262.800049,1245,1259.150024,1139.183838,1598716
12-05-2016,42502,1260.280029,1284.949951,1260.280029,1283.099976,1160.852173,1513082
13-05-2016,42503,1282.5,1283,1255.069946,1261.699951,1141.490723,1621730
16-05-2016,42506,1269,1282.400024,1261.25,1275.569946,1154.039429,1111526
17-05-2016,42507,1282.099976,1295.619995,1276,1285.099976,1162.661133,1756698
18-05-2016,42508,1282.930054,1282.930054,1263.030029,1275.550049,1154.02124,1500740
19-05-2016,42509,1277.5,1280,1263.050049,1278.469971,1156.662842,1038792
20-05-2016,42510,1271.150024,1282.900024,1261.400024,1264.650024,1144.15979,1230918
23-05-2016,42513,1272,1272.949951,1240.099976,1245.719971,1127.033203,1533016
24-05-2016,42514,1242,1244.119995,1229.800049,1233.849976,1116.294434,1339158
25-05-2016,42515,1240.5,1266.469971,1240.5,1263.219971,1142.866089,1548678
26-05-2016,42516,1265,1282.449951,1252.550049,1274.349976,1152.935547,1943248
27-05-2016,42517,1276.569946,1289.930054,1275.300049,1286.319946,1163.765015,1104676
30-05-2016,42520,1291.5,1320.969971,1291,1318.199951,1192.607788,1349464
31-05-2016,42521,1320,1323.5,1281,1284.699951,1162.299561,3722608
01-06-2016,42522,1285.599976,1322.5,1285.5,1316.780029,1191.32312,1911942
02-06-2016,42523,1300,1327.150024,1300,1325.069946,1198.82312,1408756
03-06-2016,42524,1325.699951,1329,1310.25,1314.780029,1189.513672,1554922
06-06-2016,42527,1310.25,1319.5,1301.599976,1306.25,1206.574219,1322026
07-06-2016,42528,1307,1319.5,1306.5,1315.569946,1215.182983,1202194
08-06-2016,42529,1308.619995,1314.280029,1302.75,1306.550049,1206.85144,938266
09-06-2016,42530,1311.199951,1311.199951,1277.599976,1288.619995,1190.289429,1562138
10-06-2016,42531,1283,1301.619995,1276.599976,1277.880005,1180.368774,1396832
13-06-2016,42534,1270,1276.680054,1259,1273.5,1176.323242,1029978
14-06-2016,42535,1279.469971,1279.469971,1259.119995,1267.430054,1170.716431,977570
15-06-2016,42536,1265,1282.449951,1261,1278.430054,1180.877075,1270844
16-06-2016,42537,1272.780029,1282.349976,1258.219971,1279.150024,1181.542114,1145070
17-06-2016,42538,1279.5,1305,1279.5,1301.300049,1202.001831,1878988
20-06-2016,42541,1301.300049,1334,1295.900024,1329.650024,1228.188721,1872838
